Cycles Burned
245,783,556,486,162
268,964,808,844,079
239,373,008,287,006
384,538,861,072,889
465,898,783,011,389
331,036,214,904,025
249,205,608,618,487
221,112,267,608,703
229,974,387,360,212
242,055,825,121,708
272,969,128,887,127
244,951,730,270,793
225,891,141,974,636
230,693,246,090,071
225,461,423,455,556
233,082,487,415,452
240,497,948,851,509
255,531,948,179,433
225,531,948,179,433
258,274,106,295,813
251,559,853,948,884
238,943,655,517,782
235,206,785,828,098
537,424,071,195,890
273,249,250,470,673
245,025,499,465,601
277,767,461,393,846
509,491,486,776,869
357,811,380,088,781
258,138,328,805,027
310,207,413,332,005
266,412,847,924,059
268,337,679,888,886
271,083,183,551,010
270,678,599,595,791
244,381,054,692,184
236,184,192,739,413
517,920,185,270,647
261,668,723,575,213
247,131,298,183,411
268,749,717,629,997
556,102,109,464,206
232,157,308,626,376
240,135,934,558,864
282,110,508,135,986
257,340,879,714,215
261,474,733,549,914
259,219,387,288,570
245,449,723,705,373
256,218,449,426,619
248,697,163,156,304
289,076,049,613,270
256,309,488,148,324
283,954,367,765,756
281,366,767,083,378
409,705,928,821,000
281,366,767,083,378
283,954,367,765,756
344,076,423,070,812
383,612,673,083,522
396,100,733,110,027
364,166,827,019,386
340,897,093,153,054
402,040,529,953,482
431,024,411,805,831
424,339,535,788,457
349,356,551,750,839
424,017,932,726,840
430,126,369,633,955
370,467,847,212,487
423,758,263,660,168
381,927,755,407,760
424,365,894,789,271
471,823,421,928,798
522,998,106,136,308
480,755,696,388,640
487,100,626,328,053
360,614,308,395,825
561,765,815,441,238
426,442,396,015,616
393,926,298,687,965
582,263,692,167,821
738,197,907,127,552
1,075,199,436,798,860
761,132,970,668,370
667,469,939,703,297
733,927,642,917,797
731,124,114,095,241
400,072,889,212,669
494,072,171,474,564
805,358,317,036,152
961,200,951,443,152
769,045,073,413,841
913,226,334,249,926
